frame_number,track_id,car_bbox,car_bbox_score,license_plate_bbox,license_plate_bbox_score,license_plate_number,license_text_score
51,3.0,[641.5101318359375 1532.979248046875 1394.7548828125 2148.9150390625],0.9043117165565491,[247.4875030517578 456.78289794921875 512.6577758789062 527.7124633789062],0.45793163776397705,NA13NRU,0.2804416682554836
53,3.0,[636.9175415039062 1540.3504638671875 1392.2633056640625 2147.58203125],0.901886522769928,[254.2935333251953 468.1675720214844 517.4625244140625 535.5841674804688],0.4396500885486603,NA13MRU,0.40137043021574503
54,3.0,[634.3035278320312 1547.13818359375 1387.9403076171875 2148.254638671875],0.9076617360115051,[238.67324829101562 459.5977783203125 517.6889038085938 533.682861328125],0.3743865191936493,NA13MRU,0.1983036344997059
55,3.0,[634.5753784179688 1548.6358642578125 1386.6380615234375 2147.19091796875],0.9077371954917908,[236.04188537597656 459.0979309082031 517.8534545898438 531.836181640625],0.38185301423072815,NA13MRU,0.2182877604438789
56,3.0,[631.4273071289062 1552.64111328125 1381.517578125 2149.551025390625],0.9133150577545166,[233.3251495361328 458.6983947753906 519.5699462890625 530.8096923828125],0.4041805863380432,NA13MRU,0.2969529973399301
58,3.0,[627.0867309570312 1562.8115234375 1380.535888671875 2151.072509765625],0.9115947484970093,[234.58914184570312 456.6185607910156 522.2966918945312 529.0520629882812],0.32403209805488586,MA13NRU,0.520892121101063
59,3.0,[624.6592407226562 1569.4676513671875 1379.64453125 2151.924072265625],0.9146713018417358,[267.2337341308594 470.6502380371094 516.0143432617188 531.5911865234375],0.3256332278251648,NA13NRU,0.36799054968872646
60,3.0,[621.769287109375 1574.225830078125 1379.597900390625 2152.63916015625],0.912061870098114,[241.01063537597656 464.08221435546875 523.7969970703125 530.9769897460938],0.32314977049827576,NA13NRU,0.3087935934326019
61,3.0,[621.4544677734375 1575.1375732421875 1380.021484375 2151.774658203125],0.9117547869682312,[243.6609344482422 464.4967041015625 524.696044921875 531.418212890625],0.307185560464859,MA13NRU,0.29896873304657934
62,3.0,[621.6356811523438 1581.3656005859375 1380.494873046875 2153.185546875],0.8993282318115234,[256.6224365234375 467.4466552734375 522.7484130859375 529.4363403320312],0.40361690521240234,NA13NRU,0.19774497987047657
63,3.0,[619.7943725585938 1586.635986328125 1377.8184814453125 2153.07470703125],0.8809157013893127,[238.80299377441406 461.7134704589844 523.3904418945312 535.2136840820312],0.35758066177368164,NA13NRU,0.3223158361301462
64,3.0,[616.3872680664062 1590.695556640625 1374.406494140625 2152.96044921875],0.882390558719635,[234.8289337158203 461.5091552734375 526.452392578125 531.9334106445312],0.38256070017814636,NA13NRU,0.6444258172530347
65,3.0,[613.4937744140625 1594.2470703125 1372.35107421875 2151.741455078125],0.9029920101165771,[237.21543884277344 461.3653564453125 526.0894775390625 533.6697387695312],0.31203311681747437,NA13NRU,0.24694579301170902
67,3.0,[609.0870361328125 1597.39697265625 1370.2808837890625 2149.861083984375],0.9040044546127319,[256.69940185546875 468.162109375 529.5703735351562 535.1187744140625],0.27902767062187195,NA13NRU,0.16974190797976396
68,3.0,[605.0728149414062 1600.97900390625 1370.02978515625 2150.64697265625],0.9103834629058838,[249.90911865234375 471.5413818359375 531.1270751953125 538.4143676757812],0.3170273005962372,NA13NFU,0.1870483113428672
69,1.0,[2181.7744140625 1321.4840087890625 2889.336669921875 1974.0487060546875],0.9121514558792114,[267.66912841796875 465.299560546875 464.5634765625 523.9607543945312],0.6439026594161987,MU51TSU,0.028966358668959604
69,3.0,[603.080322265625 1606.083251953125 1370.451904296875 2151.404296875],0.9100267887115479,[254.23748779296875 472.9129638671875 533.6307983398438 540.1837768554688],0.30076202750205994,NA13NRU,0.10721624882405299
74,1.0,[2187.361328125 1335.311279296875 2898.982421875 1989.6014404296875],0.9038828611373901,[263.819091796875 466.9508056640625 463.6748962402344 526.506591796875],0.6469175815582275,CW51TSU,0.010854329384161763
80,6.0,[1123.3258056640625 1133.02734375 1736.0908203125 1588.162353515625],0.8921399116516113,[227.56613159179688 300.37249755859375 376.65478515625 351.850341796875],0.324142724275589,IC15OGJ,0.049578610876901484
83,1.0,[2187.666748046875 1362.8330078125 2928.607177734375 2029.6192626953125],0.9155564308166504,[270.4689025878906 475.9119567871094 476.0955505371094 533.34326171875],0.6110199093818665,MT51VSU,0.19436186560893537
86,6.0,[1115.4288330078125 1139.1826171875 1733.3055419921875 1601.5364990234375],0.8905582427978516,[230.26307678222656 307.9683837890625 381.81231689453125 360.8812561035156],0.4793403744697571,GX15OGJ,0.2026077480014516
89,1.0,[2194.69287109375 1371.0557861328125 2936.767333984375 2053.989990234375],0.9047809839248657,[270.5261535644531 490.1072082519531 474.77313232421875 550.9835815429688],0.558535099029541,MJ51VSU,0.16692899010268686
89,6.0,[1111.7071533203125 1147.0098876953125 1731.4481201171875 1610.917236328125],0.8884142637252808,[230.16400146484375 310.07666015625 382.0038146972656 360.5904846191406],0.4561246633529663,GY15OGJ,0.5355592577634184
90,1.0,[2196.0322265625 1375.2225341796875 2940.26513671875 2059.60009765625],0.9088982343673706,[270.5674743652344 490.6036071777344 474.1071472167969 552.1449584960938],0.6011433005332947,CT51VSU,0.12837556159705502
93,1.0,[2194.6787109375 1382.0185546875 2945.513427734375 2067.65478515625],0.9044623374938965,[274.0081481933594 489.0341491699219 479.9071044921875 555.984375],0.5812147259712219,NI51YSU,0.022881069009750538
93,6.0,[1108.896484375 1157.798828125 1728.25830078125 1619.519775390625],0.8962668776512146,[228.49465942382812 305.89276123046875 379.07891845703125 361.2943115234375],0.4937135577201843,GY15DCJ,0.28022185300830543
95,1.0,[2199.8759765625 1395.29443359375 2948.74365234375 2077.80224609375],0.9043598771095276,[273.72161865234375 489.4516296386719 477.11456298828125 550.7144775390625],0.6206945776939392,MN75ISU,0.15937694539151293
99,1.0,[2197.05712890625 1411.421875 2955.44677734375 2094.999755859375],0.9029080271720886,[277.7578430175781 487.6209411621094 485.6981506347656 550.728515625],0.6101305484771729,MO75ISU,0.25443011713541863
101,6.0,[1099.0263671875 1173.946044921875 1724.666259765625 1646.6824951171875],0.8883723616600037,[232.27740478515625 311.6252136230469 383.74041748046875 363.96990966796875],0.27794671058654785,GY15OGJ,0.25205014684944715
104,6.0,[1093.9122314453125 1176.48779296875 1719.3570556640625 1651.46728515625],0.8882236480712891,[227.7620849609375 313.9317932128906 383.5063781738281 366.82073974609375],0.41758018732070923,IX15OGJ,0.1322364506853151
108,6.0,[1090.8167724609375 1186.5506591796875 1714.2757568359375 1661.64892578125],0.8863911032676697,[234.9542999267578 316.2454528808594 382.8713684082031 367.52349853515625],0.3915908634662628,GX15OCJ,0.19055353217210813
110,6.0,[1087.8291015625 1188.5255126953125 1714.268798828125 1665.28515625],0.8856853246688843,[237.41748046875 316.8254089355469 388.65509033203125 369.75689697265625],0.2934322655200958,GX15OGJ,0.2590216753184658
111,6.0,[1085.4271240234375 1190.05224609375 1715.2640380859375 1668.0723876953125],0.8908292651176453,[237.87646484375 316.5732727050781 390.975830078125 370.64666748046875],0.30476903915405273,CI15OGJ,0.22332838745247527
114,1.0,[2208.138427734375 1454.6947021484375 2983.272216796875 2149.348388671875],0.935551643371582,[284.70172119140625 508.28326416015625 495.6932373046875 571.7352294921875],0.5872527956962585,CV51VSU,0.14850769468688876
114,6.0,[1076.6669921875 1198.3580322265625 1716.326171875 1677.736083984375],0.8962417840957642,[238.58926391601562 315.4764099121094 398.8381042480469 371.5281066894531],0.49335482716560364,IG15OCJ,0.11779839083980304
115,1.0,[2208.9169921875 1455.34521484375 2982.884765625 2148.41748046875],0.9354636073112488,[284.84857177734375 507.1070251464844 495.77984619140625 571.0196533203125],0.5758113861083984,CQ51VSU,0.12337190748141966
124,1.0,[2211.4345703125 1489.5830078125 2986.974365234375 2149.16943359375],0.9237446188926697,[289.9065246582031 514.927734375 508.43853759765625 576.0075073242188],0.6125053763389587,MJ51VSU,0.344006301964106
124,6.0,[1066.2401123046875 1216.26611328125 1715.2578125 1704.125],0.9074789881706238,[239.3024139404297 320.88946533203125 406.5048828125 376.6065673828125],0.35150429606437683,GX15OGJ,0.3505006299989868
125,1.0,[2210.807373046875 1495.930908203125 2987.800537109375 2149.57958984375],0.9277768135070801,[292.18157958984375 512.3919677734375 510.84893798828125 577.4911499023438],0.6018528342247009,MT51VSU,0.21433214070819534
125,6.0,[1064.2232666015625 1222.2567138671875 1713.9068603515625 1706.844482421875],0.9023837447166443,[239.1504364013672 317.571044921875 405.38873291015625 374.1754455566406],0.3315931260585785,GX15OGJ,0.3755666924757408
127,6.0,[1062.323974609375 1227.9840087890625 1710.0810546875 1708.6832275390625],0.9037871360778809,[238.0957489013672 315.8414306640625 406.1047668457031 373.0007019042969],0.4067819118499756,GX15OGJ,0.20268361283407368
128,6.0,[1060.0272216796875 1228.9326171875 1711.38525390625 1711.082763671875],0.8989817500114441,[234.02342224121094 319.22247314453125 415.7755432128906 373.3670959472656],0.33154207468032837,GX15OCJ,0.18116009358472213
129,6.0,[1058.3486328125 1231.583251953125 1711.9344482421875 1714.6173095703125],0.9093543291091919,[238.93673706054688 317.07867431640625 410.6810302734375 376.5755920410156],0.35005754232406616,GX15OCJ,0.4438033733127052
131,1.0,[2218.91748046875 1513.5499267578125 3013.777099609375 2150.007080078125],0.9352994561195374,[291.5935363769531 519.70263671875 512.1528930664062 586.4465942382812],0.5759238004684448,MI51VSU,0.214642742247112
133,6.0,[1055.12646484375 1236.64453125 1710.3243408203125 1728.446533203125],0.9018640518188477,[238.6035614013672 322.8772277832031 409.74859619140625 379.3094482421875],0.3342258036136627,GX15OGJ,0.2217044151186265
134,1.0,[2224.8359375 1524.297119140625 3026.3427734375 2150.53466796875],0.9353852868080139,[289.549560546875 523.1878662109375 509.6261901855469 585.9480590820312],0.5733132362365723,MT51VSU,0.14689142220687376
134,6.0,[1053.6728515625 1237.719970703125 1711.5390625 1733.906005859375],0.9073643684387207,[237.5102081298828 324.0955810546875 408.9825744628906 382.5357971191406],0.45077645778656006,GX15OGJ,0.2184917888278764
135,6.0,[1051.1707763671875 1240.4073486328125 1703.0814208984375 1739.319091796875],0.909824550151825,[240.28494262695312 327.791748046875 405.2641296386719 381.6763000488281],0.2609274089336395,GX15OGJ,0.5248678577918447
136,6.0,[1045.43408203125 1243.0067138671875 1706.4915771484375 1742.3094482421875],0.8962538242340088,[243.31167602539062 327.6409606933594 413.3742370605469 382.6214599609375],0.27315565943717957,GX15OGJ,0.5959200094523759
138,1.0,[2222.061279296875 1537.1787109375 3025.02783203125 2146.8115234375],0.9423633217811584,[300.3448791503906 527.0670166015625 517.994873046875 594.7262573242188],0.5195353627204895,MT51VSU,0.18691507314356243
138,12.0,[1219.86328125 948.342041015625 1655.31884765625 1341.6114501953125],0.8409921526908875,[140.853271484375 236.9441375732422 285.9563903808594 278.01373291015625],0.6068272590637207,JK05ZIA,0.02085636762916294
140,1.0,[2234.4521484375 1541.704833984375 3026.592529296875 2146.881103515625],0.9381396174430847,[287.24127197265625 531.4669799804688 509.3916931152344 593.738525390625],0.5249444246292114,MT51NSU,0.37338878051303537
140,6.0,[1032.3682861328125 1254.09375 1706.0765380859375 1750.657958984375],0.9045087695121765,[260.36541748046875 325.6546630859375 418.9650573730469 379.96875],0.42605534195899963,GX15OGJ,0.5742811568136855
140,12.0,[1219.8487548828125 949.3345947265625 1655.5072021484375 1342.0484619140625],0.8421756029129028,[139.08389282226562 237.0180206298828 284.38568115234375 278.3002624511719],0.5877657532691956,AH05ZIX,0.10236070200543203
141,1.0,[2229.647705078125 1542.6495361328125 3025.901123046875 2147.712646484375],0.9461384415626526,[291.7424621582031 533.7025756835938 515.7594604492188 600.2258911132812],0.5155128240585327,CT51VSU,0.20332256729986442
141,12.0,[1218.3681640625 950.3951416015625 1655.178955078125 1339.6563720703125],0.8301436901092529,[146.45838928222656 243.83497619628906 285.9284973144531 282.5185241699219],0.5805506110191345,AH05ZIA,0.14986713844923844
142,1.0,[2227.892578125 1546.089599609375 3023.907470703125 2148.1572265625],0.945225715637207,[292.8626708984375 533.8012084960938 518.4647216796875 597.3552856445312],0.5916880965232849,HT51VSU,0.09958404682097993
142,6.0,[1029.2425537109375 1260.88232421875 1703.787109375 1754.56640625],0.9071471095085144,[260.3807373046875 325.896484375 424.857666015625 384.1954345703125],0.3926202952861786,GX15OGJ,0.49372870256359397
142,12.0,[1218.93505859375 951.375 1655.2503662109375 1338.5755615234375],0.8239622712135315,[141.01365661621094 240.5438232421875 284.80059814453125 286.0310974121094],0.5830082893371582,HH05ZIC,0.039539530906224654
143,6.0,[1030.5203857421875 1265.2674560546875 1704.4281005859375 1757.3385009765625],0.906132161617279,[248.7593231201172 323.77423095703125 423.8607177734375 382.7961730957031],0.33016932010650635,GX15OGJ,0.4378748036539532
143,12.0,[1218.2628173828125 952.4296264648438 1654.6229248046875 1339.2867431640625],0.8375442028045654,[139.27035522460938 241.6710662841797 284.6344299316406 285.2605285644531],0.6155999302864075,YK05ZIK,0.1448095091085653
144,1.0,[2227.466552734375 1554.385986328125 3030.0908203125 2148.579833984375],0.9411433935165405,[294.6304931640625 536.2395629882812 523.5708618164062 594.0],0.3125518262386322,MI75ISU,0.18932349885531854
146,6.0,[1028.2392578125 1266.77294921875 1701.6275634765625 1766.724853515625],0.9077059626579285,[247.69146728515625 330.1427917480469 418.58392333984375 385.9136047363281],0.2664758265018463,GX15OGJ,0.4257279631806432
146,12.0,[1216.6766357421875 955.9398803710938 1654.63720703125 1341.9010009765625],0.8087606430053711,[141.45526123046875 242.20574951171875 284.9394226074219 284.1888122558594],0.6234782934188843,KK05ZIN,0.22846817988696252
147,1.0,[2225.869140625 1562.103271484375 3035.86181640625 2149.100830078125],0.9344739317893982,[297.734130859375 544.0774536132812 529.2047729492188 587.0],0.2598596513271332,ON61TTM,0.04034911358723757
147,12.0,[1214.43017578125 957.6307373046875 1654.9471435546875 1341.6820068359375],0.8242012858390808,[143.02438354492188 241.4630584716797 286.75445556640625 283.909423828125],0.6239635944366455,KH05ZIA,0.1494384128368042
153,6.0,[1019.7620849609375 1284.593017578125 1703.7972412109375 1792.783935546875],0.9140304923057556,[254.11009216308594 335.0796813964844 424.0926818847656 392.6842956542969],0.42486414313316345,GX15OGJ,0.30711331644795287
155,6.0,[1016.4346313476562 1288.2098388671875 1700.642822265625 1797.8792724609375],0.913020133972168,[258.7183837890625 336.8944091796875 422.78521728515625 396.5233459472656],0.48068422079086304,GX15OGJ,0.22939301695969702
156,6.0,[1014.94140625 1290.8087158203125 1700.396728515625 1801.0067138671875],0.9130125641822815,[257.9490661621094 337.5860900878906 425.6172790527344 398.02142333984375],0.5336923599243164,GX15OGJ,0.2855748748842873
157,6.0,[1014.8018798828125 1291.1668701171875 1700.42333984375 1801.2364501953125],0.9127652049064636,[257.7513427734375 337.5971984863281 425.5286560058594 398.02685546875],0.5281558036804199,GX15OGJ,0.21087709187411877
158,6.0,[1014.05908203125 1296.535400390625 1700.4652099609375 1803.4342041015625],0.9135518670082092,[259.2154541015625 334.9579772949219 424.0502624511719 397.544921875],0.5144556164741516,GX15OGJ,0.5068301085827192
158,12.0,[1208.1429443359375 970.6906127929688 1652.476318359375 1356.8184814453125],0.8178087472915649,[141.17715454101562 243.4459991455078 286.8705749511719 285.38653564453125],0.6073806285858154,YN05ZTK,0.20501059344294228
159,6.0,[1012.1443481445312 1299.2337646484375 1698.5933837890625 1807.2783203125],0.9125467538833618,[259.7284851074219 337.82952880859375 423.5769958496094 397.2216796875],0.45696723461151123,GX15OGJ,0.2943433891639313
160,6.0,[1010.1336669921875 1301.7313232421875 1698.5833740234375 1810.5592041015625],0.9090408682823181,[259.0357666015625 340.04412841796875 422.7107849121094 398.407470703125],0.4570659399032593,GX15OGJ,0.20493674973078596
161,6.0,[1007.5279541015625 1303.7032470703125 1697.54736328125 1816.0335693359375],0.9114862680435181,[259.54443359375 341.90277099609375 427.6390380859375 399.4840087890625],0.5445671081542969,GX15OGJ,0.3574062187139345
163,6.0,[1005.6822509765625 1307.2454833984375 1696.098876953125 1822.0496826171875],0.910688042640686,[258.1986389160156 340.5857238769531 428.62530517578125 400.710693359375],0.4448878765106201,GX15OCJ,0.25077531259818403
164,6.0,[1004.9031372070312 1309.3702392578125 1695.97802734375 1826.064453125],0.9114194512367249,[259.1228332519531 343.79766845703125 428.6632080078125 401.13067626953125],0.40995678305625916,GX15OGJ,0.26775073828759083
165,6.0,[1005.1494140625 1311.125244140625 1695.4022216796875 1831.46826171875],0.9156302809715271,[257.60040283203125 346.2154541015625 426.7274475097656 401.4723815917969],0.4443333148956299,GX15OGJ,0.3613088776719562
169,6.0,[1002.8919677734375 1320.89013671875 1693.96240234375 1848.42041015625],0.9086727499961853,[254.4357452392578 347.2164001464844 424.8049621582031 406.1269226074219],0.4547441899776459,GX15OGJ,0.3478933671831982
170,6.0,[1002.4484252929688 1325.1944580078125 1693.663330078125 1851.169189453125],0.912550151348114,[251.37782287597656 345.3633728027344 423.7189025878906 404.6502380371094],0.3876899778842926,GX15OGJ,0.6237200669607529
